Code	Iso	Species	Period	Volu	Site	Dilu	Cove	Trial	Day	IXM
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	12	604
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	12	649
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	12	659
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	12	629
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	14	605
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	14	646
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	14	612
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	14	628
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	14	726
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	16	553
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	16	599
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	16	580
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	16	592
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	16	644
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	18	622
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	18	543
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	18	569
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	18	528
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	18	608
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	20	529
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	20	507
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	20	461
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	20	544
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	20	615
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	2	154
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	2	182
3B_A4	I8	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	2	91
